chr11	68324	2
chr11	69693	3
chr11	74668	4
chr11	83646	4
chr11	87040	66
chr11	87492	40
chr11	91589	6
chr11	96511	4
chr11	100560	2
chr11	101423	5
chr11	102446	4
chr11	102681	5
chr11	108814	3
chr11	118017	2
chr11	121213	34
chr11	132610	6
chr11	133621	5
chr11	133760	5
chr11	133869	5
chr11	143482	6
chr11	144093	4
chr11	146366	2
chr11	146368	2
chr11	148104	3
chr11	153281	6
chr11	167070	4
chr11	168967	7
chr11	172177	2
chr11	173682	3
chr11	175241	2
chr11	176201	4
chr11	176397	2
chr11	179241	9
chr11	179246	12
chr11	179259	13
chr11	179314	12
chr11	179401	24
chr11	179688	5
chr11	179814	8
chr11	179838	8
chr11	179865	10
chr11	180002	6
chr11	180093	11
chr11	180116	11
chr11	180184	50
chr11	180225	67
chr11	180231	67
chr11	180235	63
chr11	180257	50
chr11	180258	53
chr11	180283	33
chr11	180302	29
chr11	180623	9
chr11	180644	11
chr11	181006	2
chr11	187136	7
chr11	187164	6
chr11	189230	3
chr11	189597	4
chr11	189629	4
chr11	189634	4
chr11	189738	4
chr11	189750	6
chr11	189861	6
chr11	189863	6
chr11	189886	5
chr11	190214	4
chr11	190324	7
chr11	190377	6
chr11	190650	4
chr11	190733	9
chr11	190761	11
chr11	190790	10
chr11	192716	5
chr11	193194	6
chr11	194401	8
chr11	195218	2
chr11	195982	3
chr11	196791	6
chr11	197557	3
chr11	197724	6
chr11	198062	3
chr11	199673	3
chr11	200785	5
chr11	204680	5
chr11	207462	10
chr11	207465	11
chr11	209002	3
chr11	209894	11
chr11	210657	8
chr11	217171	4
chr11	219398	6
chr11	221659	4
chr11	222936	7
chr11	223119	5
chr11	226186	4
chr11	226912	2
chr11	227601	2
chr11	228775	5
chr11	233067	16
chr11	233212	7
chr11	234102	4
chr11	234451	4
chr11	235422	4
chr11	236091	6
chr11	237087	5
chr11	237312	2
chr11	237602	4
chr11	238496	3
chr11	243185	13
chr11	243211	13
chr11	243557	9
chr11	243987	9
chr11	244106	30
chr11	244108	31
chr11	244115	32
chr11	244129	28
chr11	244141	27
chr11	244167	24
chr11	244171	24
chr11	244197	20
chr11	244414	27
chr11	244490	17
chr11	244552	11
chr11	245523	8
chr11	246370	3
chr11	249253	5
chr11	250877	8
chr11	252231	5
chr11	252283	7
chr11	252318	6
chr11	253072	7
chr11	253841	2
chr11	253946	6
chr11	254010	4
chr11	254869	3
chr11	256776	4
chr11	257230	4
chr11	258480	6
chr11	258523	3
chr11	258542	3
chr11	259695	3
chr11	260610	5
chr11	266147	6
chr11	266921	2
chr11	269129	4
chr11	269147	3
chr11	270071	5
chr11	270220	4
chr11	270715	7
chr11	270732	12
chr11	270987	6
chr11	272199	3
chr11	273808	2
chr11	279798	4
chr11	280000	5
chr11	280221	3
chr11	280816	8
chr11	280817	8
chr11	284039	4
chr11	284538	9
chr11	285038	2
chr11	285049	2
chr11	285892	5
chr11	285920	6
chr11	286134	4
chr11	286391	3
chr11	288115	7
chr11	288179	4
chr11	290592	2
chr11	292887	10
chr11	293188	16
chr11	293785	6
chr11	294512	35
chr11	294695	9
chr11	295445	4
chr11	295670	3
chr11	295808	5
chr11	295876	8
chr11	296203	5
chr11	296233	7
chr11	296858	5
chr11	299091	4
chr11	300364	8
chr11	301202	5
chr11	302619	5
chr11	303148	2
chr11	305366	7
chr11	305406	7
chr11	307726	3
chr11	307733	3
chr11	307737	3
chr11	307742	4
chr11	307999	5
chr11	308065	7
chr11	308178	25
chr11	308180	25
chr11	308426	5
chr11	314207	10
chr11	320394	4
chr11	320772	19
chr11	320836	8
chr11	323222	3
chr11	323649	6
chr11	329211	3
chr11	332210	3
chr11	332222	3
chr11	332795	6
chr11	332857	7
chr11	336099	7
chr11	336138	6
chr11	336192	3
chr11	336332	5
